DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
50,200,14.875000000000005,12.68,44.33259953161593%,6.26,[12.23, 26.23],145.775
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
DENIED|,187|,NONE|,NONE|,0|,0|,['F3', 'F4', 'F1']|,src=107|, dest=143|
DENIED|,188|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F4', 'F1', 'F2']|,src=13|, dest=240|
DENIED|,189|,NONE|,NONE|,0|,0|,['F4', 'F2', 'F1', 'F5', 'F3']|,src=56|, dest=105|
DENIED|,190|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F1']|,src=102|, dest=289|
DENIED|,191|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F2']|,src=279|, dest=152|
DENIED|,192|,NONE|,NONE|,0|,0|,['F2', 'F5']|,src=170|, dest=290|
DENIED|,193|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F3']|,src=113|, dest=273|
DENIED|,194|,NONE|,NONE|,0|,0|,['F5', 'F4']|,src=299|, dest=19|
DENIED|,195|,NONE|,NONE|,0|,0|,['F2', 'F5', 'F3']|,src=34|, dest=52|
APPROVED|,196|,R196P1|,53.169398907103826%|,12.720000000000002|,9.8|,['F1']|,[174, 358, 391, 364, 191]|
DENIED|,197|,NONE|,NONE|,0|,0|,['F5', 'F3']|,src=131|, dest=265|
DENIED|,198|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F4']|,src=129|, dest=12|
DENIED|,199|,NONE|,NONE|,0|,0|,['F4', 'F2', 'F1', 'F3', 'F5']|,src=65|, dest=263|
APPROVED|,200|,R200P1|,48.5792349726776%|,8.07|,10.0|,['F4']|,[9, 303, 398, 379, 235]|
DENIED|,201|,NONE|,NONE|,0|,0|,['F1', 'F2', 'F5', 'F3', 'F4']|,src=281|, dest=9|
DENIED|,202|,NONE|,NONE|,0|,0|,['F2']|,src=93|, dest=111|
DENIED|,203|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F1']|,src=133|, dest=172|
DENIED|,204|,NONE|,NONE|,0|,0|,['F2']|,src=162|, dest=156|
DENIED|,205|,NONE|,NONE|,0|,0|,['F2', 'F3', 'F1']|,src=295|, dest=76|
DENIED|,206|,NONE|,NONE|,0|,0|,['F1']|,src=200|, dest=168|
DENIED|,207|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F1']|,src=117|, dest=295|
DENIED|,208|,NONE|,NONE|,0|,0|,['F3', 'F4', 'F5']|,src=71|, dest=34|
DENIED|,209|,NONE|,NONE|,0|,0|,['F4', 'F5']|,src=297|, dest=28|
DENIED|,210|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F2']|,src=123|, dest=7|
DENIED|,211|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F3', 'F4', 'F2']|,src=134|, dest=105|
DENIED|,212|,NONE|,NONE|,0|,0|,['F1', 'F4']|,src=7|, dest=294|
DENIED|,213|,NONE|,NONE|,0|,0|,['F1', 'F4', 'F5', 'F3']|,src=116|, dest=169|
APPROVED|,214|,R214P4|,45.68306010928961%|,22.729999999999997|,16.6|,['F1', 'F4', 'F2', 'F3']|,[229, 377, 391, 364, 374, 373, 376, 226]|
DENIED|,215|,NONE|,NONE|,0|,0|,['F3', 'F1', 'F5', 'F2']|,src=29|, dest=103|
DENIED|,216|,NONE|,NONE|,0|,0|,['F5', 'F3', 'F1']|,src=244|, dest=166|
DENIED|,217|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F3', 'F2', 'F1']|,src=210|, dest=177|
DENIED|,218|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F1', 'F3']|,src=294|, dest=41|
